leaid,lea_name,state_postal,fips,state_leaid,city_location,county_name,agency_type,agency_type_label,agency_level,agency_level_label,is_operating_district,agency_charter_indicator,lowest_grade_offered,highest_grade_offered,number_of_schools,enrollment_fy25,data_tier,data_source_note,enrollment_fy23,rev_total_fy23,exp_total_fy23,exp_current_elsec_fy23,exp_current_instruction_fy23,target_fiscal_year,target_school_year,fy_calendar
0100002,Alabama Youth Services,AL,1,AL-210,Mt Meigs,Montgomery County,1,Regular local school district,4,District-level (operating),False,,0.0,12.0,0,,2,ALSDE Annual Financial Reports — PDFs per district,,,,,,FY27,2026-27,Sept-Aug
0100005,Albertville City,AL,1,AL-101,Albertville,Marshall County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,7,5910.0,2,ALSDE Annual Financial Reports — PDFs per district,5900.0,90930000.0,81386000.0,63886000.0,37039000.0,FY27,2026-27,Sept-Aug
0100006,Marshall County,AL,1,AL-048,Guntersville,Marshall County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,17,6494.0,2,ALSDE Annual Financial Reports — PDFs per district,5951.0,87722000.0,87755000.0,78385000.0,42046000.0,FY27,2026-27,Sept-Aug
0100007,Hoover City,AL,1,AL-158,Hoover,Jefferson County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,18,13632.0,2,ALSDE Annual Financial Reports — PDFs per district,13557.0,229684000.0,210750000.0,193506000.0,115455000.0,FY27,2026-27,Sept-Aug
0100008,Madison City,AL,1,AL-169,Madison,Madison County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,13,13046.0,2,ALSDE Annual Financial Reports — PDFs per district,12473.0,207095000.0,188825000.0,144416000.0,85225000.0,FY27,2026-27,Sept-Aug
0100009,Al Inst Deaf And Blind,AL,1,AL-600,Talladega,Talladega County,5,State-operated agency,4,District-level (operating),False,,0.0,12.0,5,,2,ALSDE Annual Financial Reports — PDFs per district,,,,,,FY27,2026-27,Sept-Aug
0100010,Al Sch Of Math And Science,AL,1,AL-610,Mobile,Mobile County,5,State-operated agency,3,State + district level,False,,10.0,12.0,0,,2,ALSDE Annual Financial Reports — PDFs per district,,,,,,FY27,2026-27,Sept-Aug
0100011,Leeds City,AL,1,AL-167,Leeds,Jefferson County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,4,2271.0,2,ALSDE Annual Financial Reports — PDFs per district,2223.0,33785000.0,28548000.0,26501000.0,15303000.0,FY27,2026-27,Sept-Aug
0100012,Boaz City,AL,1,AL-115,Boaz,Marshall County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,5,2607.0,2,ALSDE Annual Financial Reports — PDFs per district,2471.0,39406000.0,35200000.0,30435000.0,16490000.0,FY27,2026-27,Sept-Aug
0100013,Trussville City,AL,1,AL-205,Trussville,Jefferson County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,5,5005.0,2,ALSDE Annual Financial Reports — PDFs per district,5065.0,75782000.0,72155000.0,62785000.0,34723000.0,FY27,2026-27,Sept-Aug
0100018,Alabama School of Fine Arts,AL,1,AL-207,Birmingham,Jefferson County,5,State-operated agency,3,State + district level,False,,7.0,12.0,0,,2,ALSDE Annual Financial Reports — PDFs per district,,,,,,FY27,2026-27,Sept-Aug
0100030,Alexander City,AL,1,AL-102,Alexander City,Tallapoosa County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,5,2836.0,2,ALSDE Annual Financial Reports — PDFs per district,2899.0,50091000.0,48048000.0,37205000.0,21572000.0,FY27,2026-27,Sept-Aug
0100060,Andalusia City,AL,1,AL-104,Andalusia,Covington County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,3,1823.0,2,ALSDE Annual Financial Reports — PDFs per district,1871.0,27372000.0,25179000.0,22609000.0,14078000.0,FY27,2026-27,Sept-Aug
0100090,Anniston City,AL,1,AL-105,Anniston,Calhoun County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,6,1821.0,2,ALSDE Annual Financial Reports — PDFs per district,1892.0,41743000.0,36099000.0,29232000.0,13491000.0,FY27,2026-27,Sept-Aug
0100100,Arab City,AL,1,AL-106,Arab,Marshall County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,4,2595.0,2,ALSDE Annual Financial Reports — PDFs per district,2653.0,36560000.0,32207000.0,30872000.0,17810000.0,FY27,2026-27,Sept-Aug
0100120,Athens City,AL,1,AL-107,Athens,Limestone County,1,Regular local school district,4,District-level (operating),True,,-1.0,12.0,9,5405.0,2,ALSDE Annual Financial Reports — PDFs per district,4840.0,80239000.0,65213000.0,55995000.0,33339000.0,FY27,2026-27,Sept-Aug
