leaid,lea_name,state_postal,state_leaid,county_name,enrollment_fy25,exp_total_fy23,data_tier,data_source_note,target_fiscal_year,fy_calendar,fiscal_year,status,topline_amount,yoy_change_pct,yoy_change_dollars,source,source_date,notes,has_extracted_signal,direction
0100005,Albertville City,AL,AL-101,Marshall County,5910.0,81386000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100006,Marshall County,AL,AL-048,Marshall County,6494.0,87755000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100007,Hoover City,AL,AL-158,Jefferson County,13632.0,210750000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100008,Madison City,AL,AL-169,Madison County,13046.0,188825000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100011,Leeds City,AL,AL-167,Jefferson County,2271.0,28548000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100012,Boaz City,AL,AL-115,Marshall County,2607.0,35200000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100013,Trussville City,AL,AL-205,Jefferson County,5005.0,72155000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100030,Alexander City,AL,AL-102,Tallapoosa County,2836.0,48048000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100060,Andalusia City,AL,AL-104,Covington County,1823.0,25179000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100090,Anniston City,AL,AL-105,Calhoun County,1821.0,36099000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100100,Arab City,AL,AL-106,Marshall County,2595.0,32207000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100120,Athens City,AL,AL-107,Limestone County,5405.0,65213000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
0100180,Attalla City,AL,AL-109,Etowah County,1460.0,19057000.0,2,ALSDE Annual Financial Reports — PDFs per district,FY27,Sept-Aug,,,,,,,,,False,unknown
