leaid,state_postal,state_leaid,fiscal_year,status,topline_amount,yoy_change_pct,yoy_change_dollars,source,source_date,notes
4800001,TX,TX-054901,2025,actual,5111089.0,-7.087208343717897,-389864.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800002,TX,TX-063903,2025,actual,3605105.0,-5.076307999846231,-192793.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800003,TX,TX-069901,2025,actual,4601555.0,0.8139730023779675,37153.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800005,TX,TX-177903,2025,actual,4554665.0,2.9744975243607428,131565.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800006,TX,TX-217901,2025,actual,3447401.0,0.645786433288247,22120.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800007,TX,TX-042905,2025,actual,3102409.0,-2.1269903663633802,-67422.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800008,TX,TX-105904,2025,actual,95067593.0,-0.21971425821549875,-209337.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800009,TX,TX-105905,2025,actual,31101742.0,0.1293624660190924,40182.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800010,TX,TX-105906,2025,actual,281793637.0,5.5606915683542795,14844233.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800011,TX,TX-126901,2025,actual,44763439.0,-2.2861963683075963,-1047324.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800012,TX,TX-139905,2025,actual,15781230.0,-2.9030763359215417,-471839.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800014,TX,TX-015802,2025,actual,10559409.0,-5.575658116821073,-623522.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
4800018,TX,TX-101802,2025,actual,16448033.0,12.932860080051164,1883598.0,https://tea.texas.gov/finance-and-grants/state-funding/state-funding-reports-and-data/peims-financial-data-downloads,2026-04-08,PEIMS audited actual; definition='all funds-total operating expenditures by obj'
